,code,FloatPopu,month
0,11010,21230091.07,2021-10-01
1,11020,22235833.79,2021-10-01
2,11030,16807378.6,2021-10-01
3,11040,18386765.28,2021-10-01
4,11050,19411770.82,2021-10-01
5,11060,17972369.08,2021-10-01
6,11070,16268150.62,2021-10-01
7,11080,19950934.06,2021-10-01
8,11090,13780663.29,2021-10-01
9,11100,12623378.91,2021-10-01
10,11110,23676273.45,2021-10-01
11,11120,19693662.52,2021-10-01
12,11130,17787690.419999998,2021-10-01
13,11140,26625932.76,2021-10-01
14,11150,17667359.919999998,2021-10-01
15,11160,27253865.42,2021-10-01
16,11170,19104134.49,2021-10-01
17,11180,11418973.04,2021-10-01
18,11190,28235150.45,2021-10-01
19,11200,17690780.0,2021-10-01
20,11210,21102986.67,2021-10-01
21,11220,34537984.29,2021-10-01
22,11230,52941723.88,2021-10-01
23,11240,41203246.59,2021-10-01
24,11250,25974872.99,2021-10-01
25,21000,413662.65,2021-10-01
26,22000,288177.7,2021-10-01
27,23010,1035833.59,2021-10-01
28,23020,103619.71,2021-10-01
29,23030,781832.02,2021-10-01
30,23040,863332.17,2021-10-01
31,23050,1102857.88,2021-10-01
32,23060,1586672.4,2021-10-01
33,23070,1018259.98,2021-10-01
34,23080,1808676.56,2021-10-01
35,23310,385076.62,2021-10-01
36,23320,54633.55,2021-10-01
37,24000,225421.23,2021-10-01
38,25000,539379.83,2021-10-01
39,26000,101070.31,2021-10-01
40,29000,205413.38,2021-10-01
41,31011,628582.8,2021-10-01
42,31012,688735.83,2021-10-01
43,31013,556211.43,2021-10-01
44,31014,1014834.72,2021-10-01
45,31021,2774309.63,2021-10-01
46,31022,1244128.27,2021-10-01
47,31023,4243676.7700000005,2021-10-01
48,31030,3608381.46,2021-10-01
49,31041,1283589.99,2021-10-01
50,31042,1794280.48,2021-10-01
51,31050,5554894.3100000005,2021-10-01
52,31060,3645344.42,2021-10-01
53,31070,636705.13,2021-10-01
54,31080,364185.42,2021-10-01
55,31091,666690.14,2021-10-01
56,31092,823657.19,2021-10-01
57,31101,5567473.2,2021-10-01
58,31103,2204555.58,2021-10-01
59,31104,1495618.81,2021-10-01
60,31110,1423735.59,2021-10-01
61,31120,2683367.01,2021-10-01
62,31130,6359832.08,2021-10-01
63,31140,312277.07,2021-10-01
64,31150,1646830.26,2021-10-01
65,31160,1067739.67,2021-10-01
66,31170,832563.27,2021-10-01
67,31180,5898466.17,2021-10-01
68,31191,902171.01,2021-10-01
69,31192,1587198.1,2021-10-01
70,31193,1655338.03,2021-10-01
71,31200,2209547.47,2021-10-01
72,31210,578428.23,2021-10-01
73,31220,368469.67,2021-10-01
74,31230,3234843.14,2021-10-01
75,31240,1810065.7,2021-10-01
76,31250,2091961.75,2021-10-01
77,31260,1487073.23,2021-10-01
78,31270,935418.55,2021-10-01
79,31280,393418.39,2021-10-01
80,31350,151227.62,2021-10-01
81,31370,649292.85,2021-10-01
82,31380,1017933.23,2021-10-01
83,32000,2264217.38,2021-10-01
84,33000,1089202.71,2021-10-01
85,34000,1721678.19,2021-10-01
86,35000,542266.97,2021-10-01
87,36000,324116.55,2021-10-01
88,37000,577628.56,2021-10-01
89,38000,281570.69,2021-10-01
90,39000,391990.51,2021-10-01
91,11010,22408023.92,2021-11-01
92,11020,23675151.19,2021-11-01
93,11030,17099071.34,2021-11-01
94,11040,18743667.3,2021-11-01
95,11050,19421287.57,2021-11-01
96,11060,18272442.94,2021-11-01
97,11070,16121088.1,2021-11-01
98,11080,20087452.44,2021-11-01
99,11090,13716117.23,2021-11-01
100,11100,12511680.99,2021-11-01
101,11110,23545273.33,2021-11-01
102,11120,19520400.67,2021-11-01
103,11130,18311093.22,2021-11-01
104,11140,27234510.69,2021-11-01
105,11150,17518204.12,2021-11-01
106,11160,27276126.29,2021-11-01
107,11170,19273460.73,2021-11-01
108,11180,11656243.23,2021-11-01
109,11190,29119486.18,2021-11-01
110,11200,17663125.33,2021-11-01
111,11210,21234111.35,2021-11-01
112,11220,35652572.18,2021-11-01
113,11230,55824041.92,2021-11-01
114,11240,41374905.17,2021-11-01
115,11250,25778341.74,2021-11-01
116,21000,439032.38,2021-11-01
117,22000,309503.36,2021-11-01
118,23010,948000.05,2021-11-01
119,23020,108282.39,2021-11-01
120,23030,812391.47,2021-11-01
121,23040,889961.33,2021-11-01
122,23050,1087240.46,2021-11-01
123,23060,1658650.85,2021-11-01
124,23070,1036312.44,2021-11-01
125,23080,1860633.29,2021-11-01
126,23310,284841.11,2021-11-01
127,23320,35529.4,2021-11-01
128,24000,239562.34,2021-11-01
129,25000,560850.06,2021-11-01
130,26000,103699.66,2021-11-01
131,29000,219003.15,2021-11-01
132,31011,666221.33,2021-11-01
133,31012,728797.19,2021-11-01
134,31013,579765.14,2021-11-01
135,31014,1059191.4,2021-11-01
136,31021,2843830.99,2021-11-01
137,31022,1269810.43,2021-11-01
138,31023,4543639.2,2021-11-01
139,31030,3635891.43,2021-11-01
140,31041,1304407.27,2021-11-01
141,31042,1914520.63,2021-11-01
142,31050,5672063.71,2021-11-01
143,31060,3637525.89,2021-11-01
144,31070,641752.81,2021-11-01
145,31080,357694.17,2021-11-01
146,31091,686917.73,2021-11-01
147,31092,814768.05,2021-11-01
148,31101,5446068.13,2021-11-01
149,31103,2241068.93,2021-11-01
150,31104,1558415.65,2021-11-01
151,31110,1426375.46,2021-11-01
152,31120,2677003.57,2021-11-01
153,31130,6281969.56,2021-11-01
154,31140,323863.99,2021-11-01
155,31150,1618921.35,2021-11-01
156,31160,1126294.65,2021-11-01
157,31170,831304.54,2021-11-01
158,31180,5817543.92,2021-11-01
159,31191,871937.77,2021-11-01
160,31192,1654002.67,2021-11-01
161,31193,1764634.92,2021-11-01
162,31200,2096079.47,2021-11-01
163,31210,571255.24,2021-11-01
164,31220,349822.78,2021-11-01
165,31230,3184970.45,2021-11-01
166,31240,1827716.1,2021-11-01
167,31250,1998584.21,2021-11-01
168,31260,1400899.81,2021-11-01
169,31270,827108.12,2021-11-01
170,31280,336204.37,2021-11-01
171,31350,123843.38,2021-11-01
172,31370,541243.73,2021-11-01
173,31380,901904.53,2021-11-01
174,32000,1920316.86,2021-11-01
175,33000,1081620.45,2021-11-01
176,34000,1644110.77,2021-11-01
177,35000,571014.98,2021-11-01
178,36000,335070.36,2021-11-01
179,37000,583577.7,2021-11-01
180,38000,285191.41,2021-11-01
181,39000,410490.62,2021-11-01
182,11010,24708192.57,2020-01-01
183,11020,26154203.91,2020-01-01
184,11030,18514384.96,2020-01-01
185,11040,19056886.31,2020-01-01
186,11050,20426393.84,2020-01-01
